                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.8745,                 2.5134,                 1.6543,                0.22029,                0.16037,                0.10829,                0.03803,                 2.8121,                 2.3674,                 1.6937,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.9258,                 2.5396,                 1.6548,                0.22871,                0.17984,                0.11563,                0.03797,                 2.7726,                 2.3345,                 1.6586,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.7945,                 2.4619,                 1.6365,                0.24331,                0.18099,                0.12844,                0.04832,                 2.7286,                 2.3387,                 1.6597,               0.001307,               0.001307,               0.001307
                     37,                 2.8527,                 2.5447,                 1.6618,                0.22841,                0.17411,                0.11059,                0.03708,                 2.7673,                 2.4436,                 1.6875,              0.0012872,              0.0012872,              0.0012872
                     38,                  2.851,                 2.5122,                 1.6288,                0.21921,                0.15464,                0.10927,                0.03806,                 2.8111,                  2.398,                 1.6643,              0.0012674,              0.0012674,              0.0012674
                     39,                  2.804,                 2.5073,                 1.6688,                0.24391,                0.17182,                0.12627,                0.04753,                 2.6373,                 2.2992,                 1.6473,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.8303,                 2.5096,                 1.6629,                0.23819,                0.18328,                0.13577,                 0.0506,                 2.6196,                 2.2517,                 1.5935,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.8161,                 2.4809,                 1.6245,                0.23678,                0.21145,                0.13947,                 0.0521,                  2.629,                   2.33,                 1.6216,               0.001208,               0.001208,               0.001208
                     42,                 2.7559,                 2.4348,                 1.6407,                0.27548,                0.19931,                0.15846,                0.05877,                  2.583,                 2.2404,                 1.5821,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.7137,                 2.4154,                 1.6345,                0.27374,                0.19473,                0.14172,                0.05352,                 2.5811,                 2.2278,                 1.5914,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.6973,                 2.4255,                    1.6,                0.24178,                0.18328,                0.13787,                0.05513,                 2.5756,                 2.2644,                 1.6038,              0.0011486,              0.0011486,              0.0011486
                     45,                  2.657,                 2.3737,                  1.533,                0.27067,                0.20618,                0.14949,                0.05866,                 2.5952,                 2.2391,                 1.6252,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.7189,                 2.3977,                 1.5629,                0.26028,                0.22337,                0.15524,                0.06104,                 2.5709,                 2.2146,                 1.5776,               0.001109,               0.001109,               0.001109
                     47,                 2.6605,                 2.3303,                 1.5685,                0.29888,                0.20046,                0.16196,                0.06445,                 2.5515,                 2.2845,                 1.5875,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.6479,                 2.3257,                 1.5567,                0.29367,                0.21879,                0.16748,                0.06768,                 2.5256,                 2.1858,                 1.5585,              0.0010694,              0.0010694,              0.0010694
                     49,                  2.643,                 2.2952,                 1.5409,                0.29031,                0.25773,                0.17879,                0.07188,                  2.465,                 2.3831,                 1.5317,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.6687,                 2.3358,                 1.5575,                0.26859,                0.21535,                 0.1737,                0.06901,                 2.5286,                 2.1844,                 1.5525,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.6508,                  2.282,                 1.5891,                0.30375,                0.24971,                0.18192,                 0.0693,                  2.478,                 2.1092,                 1.5568,                0.00101,                0.00101,                0.00101
                     52,                 2.5689,                 2.2516,                 1.5649,                0.36535,                0.23476,                0.19788,                0.07709,                 2.4204,                 2.0467,                 1.5331,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.4692,                 2.2137,                 1.5619,                0.34974,                0.21535,                0.19137,                0.08147,                 2.3872,                 2.0505,                 1.5171,              0.0009704,              0.0009704,              0.0009704
                     54,                  2.561,                 2.2618,                 1.5401,                 0.2929,                0.23024,                0.17937,                0.07145,                  2.431,                 2.0816,                 1.5213,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.5559,                 2.1775,                 1.4815,                0.32683,                0.23482,                0.19943,                0.08777,                 2.3524,                 2.0817,                 1.4954,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.4906,                 2.2297,                 1.5071,                0.32793,                0.22222,                0.19807,                0.08249,                 2.4026,                 2.0671,                 1.5062,               0.000911,               0.000911,               0.000911
                     57,                 2.4636,                 2.2033,                 1.5494,                0.35498,                0.23826,                0.21512,                0.08896,                 2.3306,                 2.0243,                  1.477,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.4811,                 2.1554,                 1.5294,                0.35192,                0.23826,                0.20719,                0.09143,                  2.326,                 1.9878,                 1.4648,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.5139,                 2.1709,                  1.483,                0.38888,                0.25949,                0.23688,                0.09534,                 2.3426,                 1.9753,                 1.4944,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.4562,                 2.1292,                  1.499,                0.35091,                0.27377,                0.22752,                0.09313,                 2.3035,                 1.9444,                 1.4672,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.5278,                 2.1024,                 1.5019,                0.33264,                0.28293,                0.21141,                 0.0822,                 2.3289,                  1.961,                 1.4814,               0.000812,               0.000812,               0.000812
                     62,                 2.4779,                 2.1592,                 1.5365,                0.37691,                0.26804,                0.24136,                0.10137,                 2.2926,                 1.9097,                 1.4532,              0.0007922,              0.0007922,              0.0007922
